time,sale,rating
2020-06-22 13:37:08,2,Zdecydowanie tak
2020-06-22 13:41:08,2,Tak
2020-06-22 13:42:18,3,Raczej nie
2020-06-22 13:45:04,1,Zdecydowanie tak
2020-06-22 13:46:32,3,Zdecydowanie nie
2020-06-22 13:58:53,2,Zdecydowanie tak
2020-06-22 14:20:54,2,Tak
2020-06-22 14:26:17,2,nie
2020-06-22 14:28:27,2,Tak
2020-06-22 14:32:01,2,Zdecydowanie tak
2020-06-22 14:39:12,1,Zdecydowanie tak
2020-06-22 14:45:13,1,Raczej tak
2020-06-22 14:45:15,1,Trudno powiedzieć
2020-06-22 14:52:13,1,Zdecydowanie nie
2020-06-22 15:03:33,3,Raczej tak
2020-06-22 15:06:10,3,nie
2020-06-22 15:08:37,2,Zdecydowanie nie
2020-06-22 15:14:27,2,Tak
2020-06-22 15:17:55,3,nie
2020-06-22 15:22:10,1,Zdecydowanie tak
2020-06-22 15:25:09,3,Raczej nie
2020-06-22 15:39:38,2,Zdecydowanie tak
2020-06-22 15:56:47,3,Zdecydowanie tak
2020-06-22 16:39:47,1,Raczej tak
2020-06-22 16:40:09,4,Tak
2020-06-22 16:46:15,3,Trudno powiedzieć
2020-06-22 17:07:19,1,Zdecydowanie tak
2020-06-22 17:18:27,2,Zdecydowanie tak
2020-06-22 17:20:30,1,Raczej nie
2020-06-22 17:21:44,2,Zdecydowanie nie
2020-06-22 17:23:30,3,nie
2020-06-22 17:32:39,2,Raczej nie
2020-06-22 18:02:33,3,Zdecydowanie nie
2020-06-22 18:06:48,2,nie
2020-06-22 18:14:00,1,Raczej nie
2020-06-22 18:23:04,3,nie
2020-06-22 18:38:53,3,Zdecydowanie nie
2020-06-22 18:51:19,1,Zdecydowanie nie
2020-06-22 19:09:59,2,Raczej tak
2020-06-22 19:12:39,2,Trudno powiedzieć
2020-06-22 19:41:05,1,Raczej tak
2020-06-22 19:52:48,2,nie
2020-06-22 20:06:17,3,Raczej tak
2020-06-22 20:09:58,1,Raczej tak
2020-06-22 20:14:02,2,Zdecydowanie tak
2020-06-22 20:35:40,3,Zdecydowanie nie
2020-06-22 20:47:48,1,
2020-06-22 20:47:57,1,Trudno powiedzieć
2020-06-22 20:50:41,2,nie
2020-06-22 20:55:14,1,nie
2020-06-22 20:57:41,1,Tak
2020-06-22 21:16:23,2,Zdecydowanie tak
2020-06-22 22:05:32,2,Zdecydowanie tak
2020-06-22 22:11:20,1,nie
2020-06-22 22:18:04,1,nie
2020-06-22 22:23:38,1,Raczej nie
2020-06-22 23:51:57,2,Raczej nie
2020-06-23 00:28:34,1,Raczej tak
2020-06-23 02:13:35,3,Trudno powiedzieć
2020-06-23 06:26:12,3,Raczej nie
2020-06-23 08:24:58,2,Raczej tak
2020-06-23 08:47:56,1,Tak
2020-06-23 08:51:19,1,Tak
2020-06-23 10:02:00,1,Raczej nie
2020-06-23 10:33:12,1,Tak
2020-06-23 12:31:03,3,Zdecydowanie tak
2020-06-23 12:37:33,2,Tak
2020-06-23 12:45:53,1,Raczej nie
2020-06-23 13:00:28,1,Raczej tak
2020-06-23 13:20:29,2,Zdecydowanie tak
2020-06-23 13:39:02,1,Trudno powiedzieć
2020-06-23 13:39:36,1,Raczej nie
2020-06-23 14:10:01,2,Raczej nie
2020-06-23 15:52:27,2,Raczej tak
2020-06-23 17:30:43,4,Raczej tak
2020-06-23 18:16:07,2,Raczej nie
2020-06-23 21:00:56,4,Zdecydowanie tak
2020-06-23 21:04:42,2,Raczej nie
2020-06-23 22:18:11,2,Zdecydowanie tak
2020-06-23 23:12:46,3,Raczej nie
2020-06-24 00:20:32,3,nie
2020-06-24 00:26:54,4,Raczej tak
2020-06-24 00:31:59,4,Tak
2020-06-24 01:03:07,1,nie
2020-06-24 09:45:10,2,nie
2020-06-24 09:46:18,1,nie
2020-06-24 09:56:02,4,Zdecydowanie tak
2020-06-24 10:47:44,1,Zdecydowanie tak
2020-06-24 11:37:51,2,Raczej tak
2020-06-24 12:00:34,3,Zdecydowanie tak
2020-06-24 12:24:24,2,nie
2020-06-24 12:39:54,2,Tak
2020-06-24 12:50:55,2,Zdecydowanie nie
2020-06-24 12:53:06,1,Zdecydowanie tak
2020-06-24 13:06:33,4,Raczej nie
2020-06-24 14:14:04,2,Tak
2020-06-24 15:15:54,2,nie
2020-06-24 16:23:20,3,nie
2020-06-24 18:04:20,2,Raczej nie
2020-06-24 18:19:43,2,Zdecydowanie tak
2020-06-24 19:42:54,2,Tak
2020-06-24 20:36:21,3,Trudno powiedzieć
2020-06-24 22:24:49,2,Trudno powiedzieć
2020-06-24 23:29:21,1,Tak
2020-06-25 08:00:50,1,Zdecydowanie nie
2020-06-25 09:28:20,2,nie
2020-06-25 09:36:51,2,Zdecydowanie tak
2020-06-25 09:42:58,2,Zdecydowanie nie
2020-06-25 12:12:01,2,Trudno powiedzieć
2020-06-25 15:07:17,1,Zdecydowanie tak
2020-06-25 17:22:23,2,Raczej nie
2020-06-25 17:28:22,2,Zdecydowanie tak
2020-06-25 18:48:52,4,Zdecydowanie nie
2020-06-25 18:57:00,3,Raczej nie
2020-06-25 21:29:12,1,Tak
2020-06-26 10:45:56,1,Raczej tak
2020-06-26 11:52:32,1,nie
2020-06-26 11:57:28,1,Raczej nie
2020-06-26 22:25:02,1,
2020-06-26 23:40:39,2,Raczej nie
2020-06-26 23:54:51,1,Raczej nie
2020-06-27 20:37:20,1,Zdecydowanie nie
2020-06-28 14:53:30,2,Raczej nie
2020-06-29 11:08:45,1,Zdecydowanie nie
2020-06-29 14:12:05,1,Zdecydowanie tak
2020-06-30 19:56:35,1,nie
2020-07-01 12:04:04,1,Zdecydowanie nie
2020-07-03 00:49:18,2,Zdecydowanie nie
2020-07-03 15:15:53,3,Raczej nie
2020-07-05 18:53:38,2,Zdecydowanie nie
2020-07-06 11:43:57,1,Raczej nie
2020-07-06 13:39:54,2,Raczej nie
2020-07-07 09:05:01,1,nie
2020-07-08 17:54:45,1,Raczej tak
2020-07-30 21:20:10,1,Raczej nie
2020-09-18 00:25:54,4,Zdecydowanie tak
2020-10-22 18:08:34,3,Tak
